id,name,age,income,credit_score,text_notes,group,default_label,application_date
201,Alice Morgan,34,54000,675,"I am applying to refinance after a temporary hardship; I had two late payments last year due to medical bills but have since returned to full-time work and increased my savings. I plan to use the funds to consolidate high interest debt.",A,0,2025-07-12
202,Ben Turner,47,62000,710,"Seeking a small business expansion loan. Last quarter cash flow was tight because of delayed customer payments, but I have a new contract that will raise revenue. I have unpaid invoices but expect them to clear next month.",B,0,2025-09-01
203,Carol Lee,29,28000,590,"Short application. Says ""self-employed"" and mentions freelance work; no steady employer listed. Tone is vague and does not provide documentation. I had one defaulted loan in 2019.",A,1,2025-10-05
204,David Patel,52,98000,780,"Stable corporate employment for 15 years. Recently paid off a car loan and maintains conservative spending. I had a single late payment five years ago but otherwise perfect history.",C,0,2025-06-21
205,Erin Sanders,41,45000,610,"Applying for personal loan to cover unexpected surgery expenses. My hospital bills caused missed payments for 3 months, but I'm on a repayment plan and my employer confirmed continued salary.",B,0,2025-08-15
206,Frank Ngo,38,47000,600,"Business loan request. Several suppliers report unpaid balances; my tone in the essay is defensive and I repeatedly ask for urgent approval. Cashflow has been negative for two months.",B,1,2025-11-02
207,Grace O.,27,36000,655,"College loan consolidation. I emphasize repayment intent and show a reliable part-time job. I have small credit card balances but no missed payments.",A,0,2025-05-30
208,Henry Wu,33,52000,640,"Application contains inconsistent statements: earlier paragraph says full-time employment, later says part-time contracting. There are contradictions about employment history and income stability.",C,1,2025-10-11
209,Isha Khan,49,150000,800,"Applying for an investor loan. Strong assets, long history of high income, low leverage. Conservative tone, clear financial statements attached.",D,0,2025-04-02
210,Jack Rivera,30,41000,605,"Requesting loan for seasonal inventory. Mentions previous bankruptcy but also recent recovery; some sentences minimize previous issues. Tone is mixed—both apologetic and defensive.",B,1,2025-09-25
211,Karen Silva,44,58000,690,"Small business owner seeking credit to bridge payroll during a slow season. Provides specific invoices and a plan to repay in 4 months. Mentions one supplier dispute that delayed payments.",B,0,2025-07-19
212,Liam Chen,26,33000,625,"Applying for a startup microloan. Essay is optimistic, outlines business model, but lacks detail on revenue projections. Mentions 'rapid growth' repeatedly without numbers.",A,0,2025-08-03
213,Maya Patel,39,67000,705,"Need loan for home improvements; I have steady income but also mention a recent medical leave and a short reduction in hours. Credit history largely positive.",C,0,2025-06-10
214,Noah Brown,55,49000,580,"Multiple short sentences, erratic punctuation, and phrases like 'can't pay' and 'urgent' appear; shows high emotional language and a pleading tone.",B,1,2025-10-20
215,Olivia Green,31,85000,760,"Applying for consolidation of credit cards. Mentions strong savings and a planned promotion next quarter. Evidence of discipline in budget planning and recent large payment towards principal.",D,0,2025-03-29
